GIỐNG - LOẠI,GIỐNG - NHU CẦU,GIỐNG - TỈNH THÀNH,QUẬN HUYỆN,GIÁ - TRIỆU ĐỒNG,DIỆN TÍCH - M2,HƯỚNG,SỐ TẦNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4148,88.6,,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3569,80.3,Bắc,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4592,65.3,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4501,73.6,Tây Nam,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2725,58.7,Tây Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6260,52.4,Nam,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3368,98.9,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5732,56.5,Nam,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5765,61.8,Đông,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3041,107.2,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4959,98.4,,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5708,80.3,Đông Bắc,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3133,79.3,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2471,118.8,Tây Nam,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2317,93.3,Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3054,148.8,,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1937,109.4,Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5168,77.9,Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3720,,Đông,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3472,116.7,Nam,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3842,82.0,Đông,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3175,73.5,Tây Nam,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4569,99.7,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3317,64.3,Bắc,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3879,75.9,Đông Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4389,89.6,Nam,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3351,98.4,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4166,,Đông Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6819,36.0,Nam,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4708,,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5129,65.8,Tây Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2844,92.9,Tây Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6425,49.7,Tây Nam,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1215,84.4,Tây,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,5402,82.4,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4447,57.2,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,,101.6,Tây,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2355,118.6,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6748,44.9,Đông Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4187,55.9,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2204,65.3,Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3800,45.4,Đông,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5104,47.1,Bắc,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4199,69.9,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2276,97.8,,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4561,61.2,Bắc,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2355,92.8,Đông Nam,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3437,65.0,Tây Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3928,79.7,Tây,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5494,72.8,Đông Bắc,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,,53.5,Bắc,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,,59.9,Nam,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4690,113.1,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2498,130.3,Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2323,117.6,Đông,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2979,130.1,Tây,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3757,75.3,Tây,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4816,110.8,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5832,89.1,Tây Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5625,32.3,Tây Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3915,72.7,Đông,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4056,88.7,Bắc,,4,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5671,44.0,Tây,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2029,115.4,Tây,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4421,119.2,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5962,85.7,Bắc,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,,62.0,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 1,5808,59.7,,,1,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2895,84.9,,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Tân Bình,4335,49.8,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2402,101.0,Đông Nam,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4712,50.9,Đông,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2976,139.4,Tây Nam,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2714,107.4,Tây Bắc,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3165,111.9,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3872,89.3,Đông Bắc,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2434,147.2,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2187,89.2,Đông Nam,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4294,92.8,Tây Bắc,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3866,99.5,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4434,99.2,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3547,75.5,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2999,,Đông Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5817,26.2,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3858,110.5,Tây Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3208,112.9,Đông,,3,2,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 2,3045,56.3,Tây Nam,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4331,62.3,Đông Bắc,,,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6502,31.9,Tây Bắc,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1660,89.0,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4109,42.0,Tây Bắc,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4108,58.1,Đông Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2722,67.6,Tây Nam,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2101,,Đông Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4040,48.9,Đông Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3833,,Đông Nam,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6035,33.5,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5406,116.9,,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2994,107.4,Bắc,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6339,83.6,Tây Nam,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2444,141.0,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4911,79.0,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7424,54.8,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4414,114.2,,,4,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5138,63.5,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3840,,Đông,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5742,78.7,Tây Nam,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2697,87.7,Tây,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2306,82.1,Đông,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4100,41.0,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3693,89.7,Tây,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4262,110.8,,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4034,116.7,Đông Nam,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,2925,52.4,Đông Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,,126.1,,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 3,7061,89.8,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4450,62.5,Tây Bắc,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2717,135.6,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3109,75.7,Đông Bắc,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5907,,Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2146,127.5,Tây,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2719,65.3,,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5516,28.8,,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4416,83.9,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2486,68.5,Tây Nam,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4004,54.1,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6654,64.3,Đông Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2780,84.6,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4011,69.8,Đông Bắc,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,2780,50.5,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3689,105.6,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4411,103.3,Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3610,53.0,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5588,80.3,,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3561,87.9,Bắc,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Tân Phú,3850,65.2,Đông,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2389,81.9,Bắc,,2,1,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Bình Tân,3096,91.3,Đông Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4882,,Tây,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3676,103.1,Tây Bắc,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2572,125.1,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2480,83.5,Tây Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5027,86.3,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2354,145.0,Đông,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1309,108.4,,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3760,69.7,Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5151,46.2,Đông,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3093,140.7,Đông Bắc,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5539,73.0,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4100,66.6,Tây,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3207,108.8,Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2296,58.9,Tây Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4184,107.6,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3780,119.2,Nam,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4257,86.3,Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4904,81.3,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4025,94.0,Tây Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2573,62.9,,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4591,26.7,Tây Nam,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5890,53.2,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3913,101.6,Đông Nam,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4043,104.9,Nam,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4074,96.8,Đông Nam,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2317,,Đông Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3262,85.6,Đông Bắc,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2478,137.7,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1967,54.4,Tây,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3803,82.0,Đông Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5727,50.6,Tây Bắc,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1811,58.6,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2333,50.5,Đông Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5946,26.5,Đông Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3394,72.4,Đông Bắc,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1797,133.7,Đông Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3463,117.0,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4538,66.3,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3239,112.6,,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2681,136.8,Đông Bắc,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6293,75.1,Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4026,56.7,Tây Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2373,81.9,Nam,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6418,39.0,Tây Nam,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,,62.7,Nam,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4235,45.4,Bắc,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2098,70.7,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4109,117.3,Tây Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6568,31.9,Đông Bắc,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6620,82.3,,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4380,40.5,Tây,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3719,88.4,Tây Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4079,51.5,Đông,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4087,58.5,Nam,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4165,74.7,Tây Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3218,64.2,Tây,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4433,97.0,Tây Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2932,81.9,Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4266,118.6,Đông Nam,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3314,90.5,Đông,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4241,69.5,Tây Bắc,,4,,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Bình Tân,3120,119.8,Đông Bắc,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1641,113.0,Tây Nam,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4630,72.1,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3048,118.1,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,,56.4,Đông Bắc,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5020,83.7,Bắc,,1,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3795,118.2,Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2550,118.8,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3473,41.8,Đông Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3606,75.0,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5284,29.9,,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4220,60.4,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4894,50.7,Tây,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3992,56.8,Đông Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3799,84.6,Tây Bắc,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2998,,Bắc,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5318,,,,1,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5100,38.0,Tây Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4678,77.3,Tây,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,,60.1,Bắc,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4111,63.6,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4356,40.9,Tây,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6091,27.1,,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2515,67.2,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3869,90.5,Tây Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2462,104.7,Tây,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3417,,Tây Nam,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4421,43.5,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,,60.2,Bắc,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2191,93.2,Đông,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3682,52.8,Tây,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3720,118.8,,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5280,76.0,Nam,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5617,59.6,,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3811,45.7,Tây Nam,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4071,,Đông Bắc,,1,1,Đã có sổ
