GIỐNG - LOẠI,GIỐNG - NHU CẦU,GIỐNG - TỈNH THÀNH,QUẬN HUYỆN,GIÁ - TRIỆU ĐỒNG,DIỆN TÍCH - M2,HƯỚNG,SỐ TẦNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,5000,75,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,5100,80,,,2,,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2000,63,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,2600,68,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,1600,45,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,4700,92,Đông Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4900,105,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3630,92,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4400,84,Tây Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,3300,70,Tây Nam,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1200,37,Tây Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2780,75,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2450,73,Tây Bắc,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1150,39,Đông Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1570,52,Đông Nam,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3850,153,,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1100,39,Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,4950,71,Đông Bắc,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,4400,236,,,6,4,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1380,50,,,2,2,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3300,71.84,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6666.666,129,Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2800,45.6,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2500,66,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,3300,72,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2300,161,,,3,4,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2200,70,Đông,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3750,75,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1550,68,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,1900,55,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,18000,118,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9500,78,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3300,71,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2100,62,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1900,59,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4000,84,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2900,66,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1100,46,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1300,30,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,861,30,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1100,61,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,4200,80,,,2,2,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2900,90,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2250,59,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1500,56,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,2100,99,Đông Nam,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2500,75,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 6,1930,64.6,Đông Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,1950,45,Đông Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,1750,75,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1300,30,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2100,54,Đông Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,5900,85,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1400,56,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,13900,154,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,930,87,Bắc,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,400,47,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2850,88,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2130,73,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2540,78,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1920,59,Tây,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2030,62,Tây Bắc,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2295,60,Đông Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1750,46.5,Tây Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3500,54,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1900,60,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3500,56,Tây,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 10,3900,50.12,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1500,56,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,5800,105.1,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2150,62,Đông Bắc,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1780,69,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,6000,98,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1590,47,Đông Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2100,66,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2350,47,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,4300,87,Đông Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2350,47,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,4300,87,Đông Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3050,80,,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,4850,78,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,1650,32.4,,,1,1,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2400,51,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3900,105,Tây,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,16000,317,,,7,6,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Gò Vấp,5500,94,Tây Bắc,,4,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2600,78,Đông,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1950,64,,,2,2,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2270,56,Đông,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2500,65,Đông,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 10,5200,73,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3270,50,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3300,56,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1900,68,,,2,2,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,14700,109,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,14000,154,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2016,69,Đông Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3900,90,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,2800,68,Tây Bắc,,2,1,Giấy tờ khác
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,1790,38,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2050,63,Tây Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1950,100,Đông,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2100,65.7,Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6200,470,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1752.293,69,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2600,50,Tây Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6200,120.8,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3900,75,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2300,117,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3300,60,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,960,42,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2350,59,,,2,1,Đang chờ sổ
