,Property Type,Transaction Type,City,District,Price (Million VND),Area (m2),Direction,Rooms,Toilets,Legal Papers
57,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,2450.0,87.0,Đông Bắc,2.0,2.0,Đã có sổ
58,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5600.0,101.0,Tây Bắc,3.0,3.0,Đã có sổ
59,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1373.1564,64.68,Null,2.0,2.0,Đang chờ sổ
60,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1980.0,60.0,Đông Nam,2.0,2.0,Đang chờ sổ
61,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6900.0,106.0,Null,3.0,3.0,Đang chờ sổ
63,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2800.0,68.0,Null,2.0,2.0,Đã có sổ
64,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3500.0,65.0,Null,2.0,2.0,Giấy tờ khác
65,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1800.0,56.0,Đông,2.0,1.0,Đang chờ sổ
67,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1800.0,77.0,Đông,2.0,1.0,Đã có sổ
68,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2300.0,72.0,Null,2.0,2.0,Giấy tờ khác
69,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4300.0,1000.0,Đông Nam,2.0,2.0,Đã có sổ
70,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1800.0,61.0,Nam,2.0,2.0,Đang chờ sổ
71,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2250.0,57.0,Bắc,2.0,1.0,Giấy tờ khác
72,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2650.0,75.13,Bắc,2.0,2.0,Giấy tờ khác
73,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,1800.0,93.0,Null,3.0,2.0,Đang chờ sổ
74,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 6,3150.0,76.0,Null,2.0,2.0,Giấy tờ khác
75,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 10,2300.0,42.0,Null,1.0,1.0,Giấy tờ khác
76,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6800.0,100.0,Null,3.0,2.0,Đã có sổ
77,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2400.0,60.0,Đông Nam,2.0,1.0,Giấy tờ khác
78,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,19000.0,320.0,Null,4.0,4.0,Đang chờ sổ
79,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,2900.0,70.0,Null,2.0,2.0,Đang chờ sổ
80,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3300.0,71.0,Null,2.0,2.0,Giấy tờ khác
81,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 6,3300.0,86.0,Null,2.0,2.0,Đã có sổ
82,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2600.0,69.0,Null,2.0,2.0,Giấy tờ khác
84,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3700.08008,102.0,Đông,3.0,2.0,Đã có sổ
85,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,1750.0,32.0,Null,1.0,1.0,Đang chờ sổ
86,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,3150.0,90.0,Null,2.0,2.0,Đã có sổ
87,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,3950.0,68.0,Đông Bắc,2.0,2.0,Đang chờ sổ
88,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6000.0,83.34,Null,2.0,2.0,Đã có sổ
89,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,18500.0,121.0,Tây Nam,3.0,2.0,Đang chờ sổ
90,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2780.0,75.0,Null,3.0,2.0,Đã có sổ
91,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,3100.0,75.0,Null,2.0,2.0,Giấy tờ khác
92,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2470.0,57.0,Bắc,2.0,1.0,Đã có sổ
93,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1850.0,60.0,Đông,2.0,2.0,Đang chờ sổ
94,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,3450.0,80.0,Null,2.0,2.0,Đã có sổ
96,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,6000.0,117.0,Tây Nam,3.0,2.0,Đang chờ sổ
97,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2950.0,59.0,Null,1.0,1.0,Đã có sổ
98,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 10,3650.0,90.0,Null,1.0,1.0,Giấy tờ khác
99,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2400.0,70.0,Đông,2.0,2.0,Đang chờ sổ
101,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2620.0,68.86,Đông,2.0,2.0,Đã có sổ
102,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2680.0,77.2,Null,2.0,2.0,Đang chờ sổ
103,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5250.0,99.0,Null,3.0,2.0,Giấy tờ khác
104,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,1500.0,35.0,Null,1.0,1.0,Giấy tờ khác
105,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1962.0,59.0,Tây Nam,2.0,2.0,Đang chờ sổ
106,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,1900.0,62.0,Null,2.0,1.0,Đã có sổ
107,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2400.0,68.0,Null,2.0,2.0,Giấy tờ khác
108,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,1850.0,60.0,Đông Nam,2.0,2.0,Giấy tờ khác
109,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1500.0,35.0,Null,1.0,1.0,Đang chờ sổ
110,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,1500.0,47.1,Tây,1.0,1.0,Đang chờ sổ
111,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2250.0,67.0,Đông Nam,2.0,2.0,Giấy tờ khác
112,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2200.0,60.0,Null,2.0,2.0,Đã có sổ
113,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,3100.0,40.0,Null,1.0,1.0,Đang chờ sổ
114,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2500.0,65.0,Tây,2.0,2.0,Đã có sổ
115,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,6200.0,95.0,Đông Bắc,3.0,2.0,Đang chờ sổ
116,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,7200.0,115.0,Null,3.0,2.0,Đang chờ sổ
117,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,7200.0,115.0,Đông Bắc,3.0,2.0,Đang chờ sổ
118,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,5000.0,74.0,Đông Bắc,2.0,2.0,Đang chờ sổ
119,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,6900.0,115.0,Đông Bắc,3.0,2.0,Đang chờ sổ
120,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,5000.0,75.0,Null,2.0,2.0,Đang chờ sổ
121,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 4,5100.0,80.0,Null,2.0,1.0,Giấy tờ khác
122,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2000.0,63.0,Null,2.0,1.0,Đang chờ sổ
123,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,2600.0,68.0,Null,2.0,2.0,Giấy tờ khác
124,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,1600.0,45.0,Null,1.0,1.0,Đã có sổ
125,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,4700.0,92.0,Đông Nam,3.0,2.0,Đang chờ sổ
126,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4900.0,105.0,Null,3.0,2.0,Giấy tờ khác
127,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3630.0,92.0,Null,3.0,2.0,Giấy tờ khác
128,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4400.0,84.0,Tây Nam,2.0,2.0,Đang chờ sổ
129,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,3300.0,70.0,Tây Nam,2.0,2.0,Đã có sổ
131,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2780.0,75.0,Null,2.0,2.0,Đang chờ sổ
132,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2450.0,73.0,Tây Bắc,2.0,1.0,Đã có sổ
134,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1570.0,52.0,Đông Nam,2.0,2.0,Đã có sổ
135,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3850.0,153.0,Null,4.0,3.0,Đã có sổ
137,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,4950.0,71.0,Đông Bắc,2.0,2.0,Đã có sổ
138,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,4400.0,236.0,Null,6.0,4.0,Đã có sổ
139,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1380.0,50.0,Null,2.0,2.0,Giấy tờ khác
140,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3300.0,71.84,Null,2.0,2.0,Đang chờ sổ
141,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6666.666,129.0,Nam,3.0,2.0,Đã có sổ
142,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2800.0,45.6,Null,1.0,1.0,Đang chờ sổ
143,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2500.0,66.0,Null,2.0,2.0,Đã có sổ
144,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,3300.0,72.0,Null,2.0,2.0,Giấy tờ khác
145,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2300.0,161.0,Null,3.0,4.0,Giấy tờ khác
146,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2200.0,70.0,Đông,2.0,2.0,Đang chờ sổ
147,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3750.0,75.0,Null,2.0,2.0,Giấy tờ khác
148,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1550.0,68.0,Null,2.0,2.0,Đang chờ sổ
149,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,1900.0,55.0,Null,2.0,1.0,Đang chờ sổ
150,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,18000.0,118.0,Null,3.0,2.0,Giấy tờ khác
151,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9500.0,78.0,Null,2.0,2.0,Đang chờ sổ
152,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3300.0,71.0,Null,2.0,2.0,Giấy tờ khác
153,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2100.0,62.0,Null,2.0,2.0,Đang chờ sổ
154,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1900.0,59.0,Null,2.0,1.0,Đang chờ sổ
155,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4000.0,84.0,Null,2.0,2.0,Giấy tờ khác
156,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2900.0,66.0,Null,2.0,1.0,Đang chờ sổ
158,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1300.0,30.0,Null,1.0,1.0,Đã có sổ
161,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,4200.0,80.0,Null,2.0,2.0,Giấy tờ khác
162,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2900.0,90.0,Null,3.0,2.0,Giấy tờ khác
163,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2250.0,59.0,Null,2.0,1.0,Đang chờ sổ
164,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1500.0,56.0,Null,2.0,2.0,Đã có sổ
165,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,2100.0,99.0,Đông Nam,2.0,2.0,Đã có sổ
166,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2500.0,75.0,Null,2.0,2.0,Giấy tờ khác
167,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 6,1930.0,64.6,Đông Nam,2.0,1.0,Giấy tờ khác
168,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,1950.0,45.0,Đông Nam,1.0,1.0,Đang chờ sổ
169,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,1750.0,75.0,Null,2.0,2.0,Đã có sổ
170,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1300.0,30.0,Null,1.0,1.0,Đang chờ sổ
171,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2100.0,54.0,Đông Nam,1.0,1.0,Đã có sổ
172,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,5900.0,85.0,Null,3.0,2.0,Giấy tờ khác
173,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1400.0,56.0,Null,2.0,2.0,Đang chờ sổ
174,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,13900.0,154.0,Null,4.0,3.0,Giấy tờ khác
177,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2850.0,88.0,Null,2.0,2.0,Đã có sổ
178,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2130.0,73.0,Null,2.0,2.0,Đang chờ sổ
179,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2540.0,78.0,Null,2.0,2.0,Đang chờ sổ
180,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1920.0,59.0,Tây,2.0,1.0,Đã có sổ
181,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2030.0,62.0,Tây Bắc,2.0,2.0,Đang chờ sổ
182,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2295.0,60.0,Đông Nam,2.0,2.0,Đang chờ sổ
183,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1750.0,46.5,Tây Nam,2.0,1.0,Đang chờ sổ
184,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3500.0,54.0,Null,1.0,1.0,Đang chờ sổ
185,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1900.0,60.0,Null,2.0,2.0,Giấy tờ khác
186,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3500.0,56.0,Tây,2.0,2.0,Đang chờ sổ
187,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 10,3900.0,50.12,Null,1.0,1.0,Đang chờ sổ
188,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,1500.0,56.0,Null,2.0,2.0,Đã có sổ
189,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,5800.0,105.1,Null,3.0,2.0,Giấy tờ khác
190,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2150.0,62.0,Đông Bắc,2.0,2.0,Đã có sổ
191,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1780.0,69.0,Null,2.0,2.0,Đang chờ sổ
192,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,6000.0,98.0,Null,3.0,2.0,Giấy tờ khác
193,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1590.0,47.0,Đông Nam,1.0,1.0,Đang chờ sổ
194,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2100.0,66.0,Null,2.0,2.0,Giấy tờ khác
195,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2350.0,47.0,Null,1.0,1.0,Giấy tờ khác
196,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,4300.0,87.0,Đông Nam,3.0,2.0,Đang chờ sổ
197,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2350.0,47.0,Null,1.0,1.0,Giấy tờ khác
198,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,4300.0,87.0,Đông Nam,3.0,2.0,Đang chờ sổ
199,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3050.0,80.0,Null,3.0,2.0,Đang chờ sổ
200,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,4850.0,78.0,Null,2.0,2.0,Giấy tờ khác
201,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,1650.0,32.4,Null,1.0,1.0,Giấy tờ khác
202,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2400.0,51.0,Null,1.0,1.0,Giấy tờ khác
203,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3900.0,105.0,Tây,3.0,2.0,Đang chờ sổ
204,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,16000.0,317.0,Null,7.0,6.0,Đã có sổ
205,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Gò Vấp,5500.0,94.0,Tây Bắc,4.0,2.0,Đang chờ sổ
206,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2600.0,78.0,Đông,2.0,2.0,Đã có sổ
207,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1950.0,64.0,Null,2.0,2.0,Giấy tờ khác
208,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2270.0,56.0,Đông,2.0,1.0,Đã có sổ
209,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2500.0,65.0,Đông,2.0,1.0,Đang chờ sổ
210,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 10,5200.0,73.0,Null,2.0,2.0,Đang chờ sổ
211,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3270.0,50.0,Null,1.0,1.0,Đã có sổ
212,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3300.0,56.0,Null,1.0,1.0,Đang chờ sổ
213,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1900.0,68.0,Null,2.0,2.0,Giấy tờ khác
214,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,14700.0,109.0,Null,3.0,2.0,Giấy tờ khác
